element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""643.76013""","=""0.00011""","=""643.760043""","=""0.000017""","=""11""","=""2.e+05""",E,"=""144709.9818""","=""160239.4280""","=""3s2.3p4.(3P).3d""","=""2P""","=""1/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",,"=""T926""","=""L11520""",
Ar,2,"=""644.18981""","=""0.00013""","=""644.19002""","=""0.00004""","=""12""","=""""",,"=""195123.6464""","=""210642.7273""","=""3s2.3p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""3s2.3p4.(3P<2>).6g""","=""2[6]""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""644.38591""","=""0.00016""","=""644.38630""","=""0.00004""","=""12""","=""""",,"=""195128.3735""","=""210642.7273""","=""3s2.3p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<2>).6g""","=""2[6]""","=""11/2""",,"=""""","=""L11520""",
Ar,2,"=""645.6489""","=""0.0008""","=""645.65030""","=""0.00005""","=""3""","=""""",,"=""195123.6464""","=""210607.6278""","=""3s2.3p4.(3P<2>).4f""","=""2[5]*""","=""11/2""","=""3s2.3p4.(3P<2>).6g""","=""2[5]""","=""11/2""",,"=""""","=""L14821""",
Ar,2,"=""645.771""","=""0.002""","=""645.77246""","=""0.00004""","=""0*""","=""""",,"=""195128.3735""","=""210609.4258""","=""3s2.3p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""7/2""",,"=""""","=""L14821""",
Ar,2,"=""645.771""","=""0.002""","=""645.77445""","=""0.00013""","=""0*""","=""""",,"=""195128.3735""","=""210609.378""","=""3s2.3p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<2>).6g""","=""2[4]""","=""9/2""",,"=""""","=""L14821""",
Ar,2,"=""645.8403""","=""0.0008""","=""645.84207""","=""0.00006""","=""2""","=""""",,"=""195128.3735""","=""210607.7571""","=""3s2.3p4.(3P<2>).4f""","=""2[5]*""","=""9/2""","=""3s2.3p4.(3P<2>).6g""","=""2[5]""","=""9/2""",,"=""""","=""L14821""",
Ar,1,"=""""","=""""","=""646.6552""","=""0.0010""","=""""","=""1.5e+05""",D,"=""107054.2720""","=""122514.192""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
Ar,2,"=""646.8047""","=""0.0002""","=""646.80495""","=""0.00009""","=""8""","=""""",,"=""196305.1289""","=""211761.469""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""7/2""","=""3s2.3p4.(3P<1>).6g""","=""2[4]""","=""9/2""",,"=""""","=""L11520""",
Ar,2,"=""647.2428""","=""0.0004""","=""647.24304""","=""0.00008""","=""6""","=""""",,"=""196315.5916""","=""211761.470""","=""3s2.3p4.(3P<1>).4f""","=""2[3]*""","=""5/2""","=""3s2.3p4.(3P<1>).6g""","=""2[4]""","=""7/2""",,"=""""","=""L11520""",
