obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""57.88220""","=""0.00006""","=""57.882228""","=""0.000021""","=""a""","=""""",,"=""0.0000""","=""172764.60""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).11s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.94712""","=""0.00006""","=""57.947221""","=""0.000022""","=""a""","=""""",,"=""0.0000""","=""172570.83""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.94880""","=""0.00006""","=""57.948866""","=""0.000022""","=""a""","=""""",,"=""0.0000""","=""172565.93""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).9d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.97704""","=""0.00006""","=""57.977119""","=""0.000013""","=""a""","=""""",,"=""0.0000""","=""172481.8376""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).10s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""57.98406""","=""0.00006""","=""57.984135""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""172460.966""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.05113""","=""0.00006""","=""58.051195""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""172261.741""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).8s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.06887""","=""0.00006""","=""58.068924""","=""0.000022""","=""a""","=""""",,"=""0.0000""","=""172209.15""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.07131""","=""0.00006""","=""58.071376""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""172201.878""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.11215""","=""0.00006""","=""58.112197""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""172080.915""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).9s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.24687""","=""0.00006""","=""58.246914""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""171682.914""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.25059""","=""0.00006""","=""58.250642""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""171671.928""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.25977""","=""0.00006""","=""58.259820""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""171644.882""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.31257""","=""0.00006""","=""58.312613""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""171489.486""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.36891""","=""0.00006""","=""58.368935""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""171324.0107""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.52472""","=""0.00006""","=""58.524736""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""170867.923""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.53040""","=""0.00006""","=""58.530426""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""170851.3105""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.63138""","=""0.00006""","=""58.631409""","=""0.000014""","=""a""","=""""",,"=""0.0000""","=""170557.0484""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""""","=""L10092""",
"=""58.72127""","=""0.00006""","=""58.721282""","=""0.000014""","=""a""","=""1.48e+07""",B,"=""0.0000""","=""170296.0099""","=""2s2.2p6""","=""1S""","=""0""","=""2s2.2p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""",,"=""T5842""","=""L10092""",
