obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""93.7814""","=""0.0014""","=""93.780331""","=""0.000004""","=""19000""","=""1.6440e+06""",AAA,"=""0.0000000000""","=""106632.1681""","=""1s""","=""2S""","=""1/2""","=""6""","=""""","=""""",,"=""T8637""","=""L8834""",
"=""94.9742""","=""0.0004""","=""94.97429095""","=""0.00000004""","=""""","=""3.4375e+07""",AAA,"=""0.0000000000""","=""105291.65209""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""L3545""",
"=""94.9742""","=""0.0004""","=""94.974287""","=""0.000005""","=""33000""","=""4.1250e+06""",AAA,"=""0.0000000000""","=""105291.657""","=""1s""","=""2S""","=""1/2""","=""5""","=""""","=""""",,"=""T8637""","=""L3545""",
"=""94.9742""","=""0.0004""","=""94.97431207""","=""0.00000004""","=""""","=""3.4375e+07""",AAA,"=""0.0000000000""","=""105291.62867""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""L3545""",
"=""94.974284001""","=""0.000000021""","=""94.974283997""","=""0.000000021""","=""""","=""""",,"=""0.0000000000""","=""[105291.659796]""","=""1s""","=""2S""","=""1/2""","=""5d""","=""2D""","=""5/2""",E2,"=""""","=""L15291c37""",
"=""94.97431001""","=""0.00000004""","=""94.97431003""","=""0.00000004""","=""""","=""""",,"=""0.0000000000""","=""[105291.63094]""","=""1s""","=""2S""","=""1/2""","=""5s""","=""2S""","=""1/2""",M1,"=""""","=""L15291c36""",
"=""97.2517""","=""0.0014""","=""97.253650""","=""0.000011""","=""83000""","=""1.2785e+07""",AAA,"=""0.0000000000""","=""102823.904""","=""1s""","=""2S""","=""1/2""","=""4""","=""""","=""""",,"=""T8637""","=""L8834""",
"=""""","=""""","=""97.2536984969""","=""0.0000000003""","=""""","=""""",,"=""0.0000000000""","=""102823.8530211""","=""1s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",M1,"=""""","=""""",
"=""97.2541""","=""0.0019""","=""97.2536594376""","=""0.0000000003""","=""""","=""6.8185e+07""",AAA,"=""0.0000000000""","=""102823.8943175""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""L8445""",
"=""97.2541""","=""0.0019""","=""97.2537026950""","=""0.0000000005""","=""""","=""6.8185e+07""",AAA,"=""0.0000000000""","=""102823.8485825""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""L8445""",
