obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""28.5930""","=""0.0010""","=""28.5930""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.3617""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).14p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.6010""","=""0.0010""","=""28.6010""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.3496""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).13p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.6110""","=""0.0010""","=""28.6110""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.3345""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).12p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.6220""","=""0.0010""","=""28.6220""","=""0.0010""","=""a""","=""""",,"=""0.000000000""","=""43.3178""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).11p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.6397""","=""0.0008""","=""28.6397""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""43.2911""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).10p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.6621""","=""0.0008""","=""28.6621""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""43.2572""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).9p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.6944""","=""0.0008""","=""28.6944""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""43.2085""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).8p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.7420""","=""0.0008""","=""28.7420""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""43.1370""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).7p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.8163""","=""0.0008""","=""28.8163""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""43.0257""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).6p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""28.9453""","=""0.0008""","=""28.9453""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""42.8339""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).5p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""29.1874""","=""0.0008""","=""29.1874""","=""0.0008""","=""a""","=""""",,"=""0.000000000""","=""42.4787""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(1S<0>).4p""","=""2[1]*""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""29.280""","=""0.010""","=""29.280""","=""0.010""","=""a""","=""""",,"=""0.000000000""","=""42.344""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(3P<1>).15p.(II)""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
"=""29.290""","=""0.010""","=""29.290""","=""0.010""","=""a""","=""""",,"=""0.000000000""","=""42.329""","=""2p6.3s""","=""2S""","=""1/2""","=""2p5.3p.(3P<1>).14p.(II)""","=""""","=""1/2,3/2""",,"=""""","=""L12868""",
